ain,parcel_id,situs_address,use_description,year_built,roll_year,roll_land_value,roll_imp_value,roll_total_value,real_estate_exemp,value_source,fetch_date
5351441500,5351441500,699 14TH ST SD,16,06,2026,18360000,50003178,68363178,,sandag-parcels,2026-08-22
2146500200,2146500200,6790 EMBARCADERO LN CB,21,09,2026,15568767,33766648,49335415,,sandag-parcels,2026-08-22
2311104600,2311104600,2549 VALLEY PKWY ES,16,87,2026,30308100,20354053,50662153,,sandag-parcels,2026-08-22
4441201300,4441201300,438 CAMINO DEL RIO  SD,21,79,2026,2427182,1490976,3918158,,sandag-parcels,2026-08-22
4441201800,4441201800,480 CAMINO DEL RIO  SD,20,  ,2026,1884643,0,1884643,,sandag-parcels,2026-08-22
4610304300,4610304300,6171 MISSION GORGE RD SD,21,77,2026,13158000,204000,13362000,,sandag-parcels,2026-08-22
5484004400,5484004400,5040 LOGAN AVE SD,20,  ,2026,4462500,0,4462500,,sandag-parcels,2026-08-22
5343602100,5343602100,840 17TH ST SD,16,90,2026,2202858,7489628,9692486,,sandag-parcels,2026-08-22
2262030200,2262030200,443 EL NORTE PKWY ES,16,87,2026,7937360,11424829,19362189,,sandag-parcels,2026-08-22
2262031000,2262031000,439 EL NORTE PKWY ES,16,87,2026,5116369,7674557,12790926,,sandag-parcels,2026-08-22
2262110300,2262110300,457 EL NORTE PKWY ES,16,87,2026,5116369,7674557,12790926,,sandag-parcels,2026-08-22
1043514700,1043514700,1735 MISSION RD CN,29,21,2026,9568699,24203182,33771881,,sandag-parcels,2026-08-22
5473131800,5473131800,220 47TH ST SD,16,90,2026,2142762,3925748,6068510,,sandag-parcels,2026-08-22
4701122500,4701122500,5035 GUAVA AVE LM,16,86,2026,2033407,3050116,5083523,,sandag-parcels,2026-08-22
6390806100,6390806100,601 TELEGRAPH CANYON RD CV,16,82,2026,30000000,43424100,73424100,,sandag-parcels,2026-08-22
4635902700,4635902700,5474 RESERVOIR DR SD,16,69,2026,23383000,10021000,33404000,,sandag-parcels,2026-08-22
2280732000,2280732000,1045 MORNING VIEW DR ES,16,85,2026,20621754,21308356,41930110,,sandag-parcels,2026-08-22
